Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE,JNJ,PFE
Date
2023-05-31,151.56851196289062,36.550838470458984,0.0,0.0,152.18433102725737,36.743110840057966,150.3857658825245,35.44527509573267,151.21661748542488,35.66638703721985,0.0,0.0,11324600,46166300
2023-06-01,151.06021118164062,36.550838470458984,0.0,0.0,151.54895266521876,36.733495204568285,149.70151045390165,36.24320414601679,151.06021118164062,36.64697282161326,0.0,0.0,7901300,20256100
2023-06-02,153.43548583984375,36.8776969909668,0.0,0.0,153.76782643283812,37.166103685070304,150.62033042811547,36.68542463913443,151.23614940323222,36.771947014094486,0.0,0.0,7657200,22721600
2023-06-05,154.75509643554688,37.156494140625,0.0,0.0,155.0678832006635,37.512195630970574,153.22044115747818,36.98344937942114,153.22044115747818,36.99306134735899,0.0,0.0,6430500,18392200
2023-06-06,154.61825561523438,36.88731002807617,0.0,0.0,156.01606407772687,37.35837712036276,153.8558200594047,36.81040328548684,155.98674078059548,37.310309947833154,0.0,0.0,5073600,19508200
2023-06-07,154.95059204101562,37.38721466064453,0.0,0.0,155.22428605724997,37.55064743912054,153.89490872902383,36.656584142906475,154.54005101666414,36.8680804240125,0.0,0.0,6504300,25295100
2023-06-08,156.6514129638672,37.579490661621094,0.0,0.0,156.8078138162818,37.67562501080864,154.26636708297266,37.23340113688138,154.93104833292534,37.531423487027325,0.0,0.0,5818400,17347600
2023-06-09,156.40704345703125,37.46413040161133,0.0,0.0,157.11083238323374,38.06017146153952,155.87920921998258,37.36799238079032,156.80781505129778,37.76214909793016,0.0,0.0,6264400,19775100
2023-06-12,156.2995147705078,38.35818862915039,0.0,0.0,156.6416397625927,38.521617741472234,155.15586153055258,37.48335292828226,156.39726902973374,37.50257686255188,0.0,0.0,6510600,28334600
2023-06-13,157.12060546875,38.72350311279297,0.0,0.0,157.21834480885124,38.81002548852552,155.56639633452627,37.92557779640621,156.13333820185235,38.137074084749024,0.0,0.0,6066800,26533800
